,Species,GA_original,species,GA,size,gc,genes
918,Gemykrogvirus galga3,GCF_018589075.1,Gemykrogvirus galga3,GCF_018589075.1,2216.0,52.0,2.0
919,Gemykrogvirus galga4,GCF_018589215.1,Gemykrogvirus galga4,GCF_018589215.1,2160.0,50.0,2.0
920,Gemykrogvirus galga5,GCF_018589065.1,Gemykrogvirus galga5,GCF_018589065.1,2222.0,52.0,2.0
921,Gemytondvirus ostri1,GCF_000928795.1,Gemytondvirus ostri1,GCF_000928795.1,2122.0,48.5,2.0
922,Genomoviridae sp.,GCF_018591135.1,Genomoviridae sp.,GCF_018591135.1,2178.0,54.0,2.0
923,Gentoo penguin virus,0,Gentoo penguin virus,,,,
924,Gerritsz virus,0,Gerritsz virus,,,,
925,Ghabrivirales sp.,,Ghabrivirales sp.,,,,
926,Goose adenovirus 5,0,Goose adenovirus 5,,,,
927,Goose adenovirus Y81G4,0,Goose adenovirus Y81G4,,,,
928,Goose astrovirus,GCF_002146085.1,Goose astrovirus,GCF_002146085.1,7299.0,41.5,3.0
929,Goose astrovirus 1,,Goose astrovirus 1,GCA_031301795.1,7310.0,42.0,
930,Goose astrovirus 2,,Goose astrovirus 2,GCA_031242835.1,7183.0,43.5,3.0
931,Goose aviadenovirus A,GCF_000897155.1,Goose aviadenovirus A,GCF_000897155.1,43376.0,44.5,35.0
932,Goose calicivirus,GCF_000920715.1,Goose calicivirus,GCF_000920715.1,8013.0,54.5,2.0
933,Goose parvovirus SDDY21,,Goose parvovirus SDDY21,,,,
934,Goose parvovirus SDJN21,,Goose parvovirus SDJN21,,,,
935,Goose parvovirus SDWF22,,Goose parvovirus SDWF22,,,,
936,Goose pegivirus 1,,Goose pegivirus 1,GCA_031250005.1,11479.0,57.5,
937,Goose pegivirus 2,,Goose pegivirus 2,GCA_031250015.1,11195.0,58.5,
938,Goose-dominant Coronavirus,0,Goose-dominant Coronavirus,,,,
939,Gouldian finch adenovirus 1,0,Gouldian finch adenovirus 1,,,,
940,Gouldian finch circovirus,,Gouldian finch circovirus,,,,
941,Great tit siadenovirus A,GCF_002925555.1,Great tit siadenovirus A,GCF_002925555.1,13628.0,37.5,10.0
942,Grey teal calicivirus,0,Grey teal calicivirus,,,,
943,Grey teal chaphamaparvovirus,,Grey teal chaphamaparvovirus,,,,
944,Grey teal gyrovirus,,Grey teal gyrovirus,,,,
945,Grey teal parvovirus,0,Grey teal parvovirus,,,,
946,Grey teal picobirnavirus X,0,Grey teal picobirnavirus X,,,,
947,Grey teal picobirnavirus Z,0,Grey teal picobirnavirus Z,,,,
948,Grey teal picobirnavirus y,0,Grey teal picobirnavirus y,,,,
949,Griffon vulture papillomavirus,0,Griffon vulture papillomavirus,,,,
950,Gruhelivirus A,GCF_013087255.1,Gruhelivirus A,GCF_013087255.1,7073.0,43.5,1.0
951,Grus japonensis CRESS-DNA-virus sp.,,Grus japonensis CRESS-DNA-virus sp.,,,,
952,Grus japonensis Chaphamaparvovirus,,Grus japonensis Chaphamaparvovirus,,,,
953,Grus japonensis parvo-like hybrid virus,,Grus japonensis parvo-like hybrid virus,,,,
954,Grus japonensis parvoviridae sp.,,Grus japonensis parvoviridae sp.,,,,
955,Grus monacha CRESS-DNA-virus sp.,,Grus monacha CRESS-DNA-virus sp.,,,,
956,Grus nigricollis-associatied genomovirus,,Grus nigricollis-associatied genomovirus,,,,
957,Grusopivirus A,GCF_003390015.1,Grusopivirus A,GCF_003390015.1,7917.0,41.0,1.0
958,Grusopivirus B,GCF_003390035.1,Grusopivirus B,GCF_003390035.1,7104.0,42.5,1.0
959,Grusopivirus C,GCF_004995665.1,Grusopivirus C,GCF_004995665.1,7862.0,39.5,1.0
960,Grusopivirus sp.,,Grusopivirus sp.,,,,
961,Guinea fowl astrovirus,0,Guinea fowl astrovirus,,,,
962,Guinea fowl circovirus,0,Guinea fowl circovirus,,,,
963,Guinea fowl picornavirus,,Guinea fowl picornavirus,GCA_031243325.1,8061.0,41.0,
964,Gull adenovirus,,Gull adenovirus,,,,
965,Gull coronavirus,0,Gull coronavirus,,,,
966,Gull metapneumovirus,0,Gull metapneumovirus,GCA_031192995.1,14458.0,42.0,9.0
967,Gull papillomavirus 1,0,Gull papillomavirus 1,GCA_031189325.1,7699.0,57.5,7.0
968,Gull papillomavirus 2,0,Gull papillomavirus 2,,,,
969,Gull papillomavirus 3,0,Gull papillomavirus 3,,,,
970,Gyrovirus 10,0,Gyrovirus 10,GCA_003260835.1,2195.0,51.5,3.0
971,Gyrovirus 2126_10,,Gyrovirus 2126_10,,,,
972,Gyrovirus 2316_26,,Gyrovirus 2316_26,,,,
973,Gyrovirus 2316_32,,Gyrovirus 2316_32,,,,
974,Gyrovirus 2885_18H,,Gyrovirus 2885_18H,,,,
975,Gyrovirus 2885_18K,,Gyrovirus 2885_18K,,,,
976,Gyrovirus 2885_18L,,Gyrovirus 2885_18L,,,,
977,Gyrovirus 3,,Gyrovirus 3,GCA_031191135.1,2356.0,53.0,3.0
978,Gyrovirus 6,,Gyrovirus 6,GCA_031191145.1,2220.0,52.5,3.0
979,Gyrovirus 9,,Gyrovirus 9,GCA_031236225.1,2215.0,45.0,3.0
980,Gyrovirus VC5,,Gyrovirus VC5,,,,
981,Gyrovirus VC7,,Gyrovirus VC7,,,,
982,Gyrovirus chickenanemia,,Gyrovirus chickenanemia,,,,
983,Gyrovirus fulgla1,GCF_001045285.1,Gyrovirus fulgla1,GCF_001045285.1,2218.0,49.5,3.0
984,Gyrovirus galga1,GCF_000891935.1,Gyrovirus galga1,GCF_000891935.1,2383.0,53.5,3.0
985,Gyrovirus homsa1,,Gyrovirus homsa1,,,,
986,Gyrovirus homsa2,,Gyrovirus homsa2,,,,
987,Gyrovirus homsa3,,Gyrovirus homsa3,,,,
988,Gyrovirus hydho1,GCF_004134085.1,Gyrovirus hydho1,GCF_004134085.1,2394.0,53.0,4.0
989,Gyrovirus myferr1,GCF_018583945.1,Gyrovirus myferr1,GCF_018583945.1,1873.0,54.5,3.0
990,Halley virus,0,Halley virus,,,,
991,Halvorsen virus,0,Halvorsen virus,,,,
992,Hapavirus flanders,0,Hapavirus flanders,GCF_002815595.1,13038.0,37.0,9.0
993,Hapavirus landjia,GCF_002146145.1,Hapavirus landjia,GCF_002146145.1,13695.0,37.0,11.0
994,Harkavirus A,GCF_000981755.1,Harkavirus A,GCF_000981755.1,8003.0,42.0,1.0
995,Hawaiian goose poxvirus,0,Hawaiian goose poxvirus,,,,
996,Hawfinch circovirus,,Hawfinch circovirus,,,,
997,Hedwig virus,,Hedwig virus,,,,
998,Hepacivirus Q,,Hepacivirus Q,GCA_031315615.1,9893.0,45.0,
999,Hepacivirus sp.,,Hepacivirus sp.,GCA_031173525.1,8675.0,46.5,
1000,Hepatitis B virus,0,Hepatitis B virus,GCF_003033055.1,3248.0,48.5,4.0
1001,Hepatitis E virus,0,Hepatitis E virus,,,,
1002,Hepeviridae sp.,0,Hepeviridae sp.,,,,
1003,Heron hepatitis B virus,0,Heron hepatitis B virus,GCF_000861965.1,3027.0,45.0,5.0
1004,Herpesvirus eupittula14478,,Herpesvirus eupittula14478,,,,
1005,Herpesvirus goose/GAV08/Poland/2008,0,Herpesvirus goose/GAV08/Poland/2008,,,,
1006,Highlands J virus,GCF_000881255.1,Highlands J virus,GCF_000881255.1,11526.0,49.0,3.0
1007,Hilary virus,0,Hilary virus,,,,
1008,Houbara coronavirus UAE-HKU28,0,Houbara coronavirus UAE-HKU28,GCA_031171225.1,26155.0,39.5,10.0
1009,Huchismacovirus chicas1,GCF_003033445.1,Huchismacovirus chicas1,GCF_003033445.1,2408.0,42.0,2.0
1010,Huchismacovirus chicas2,GCF_003033465.1,Huchismacovirus chicas2,GCF_003033465.1,2459.0,42.5,2.0
1011,Huchismacovirus sp.,,Huchismacovirus sp.,GCA_031242685.1,2459.0,42.0,
1012,Human mastadenovirus F,0,Human mastadenovirus F,GCF_000846685.1,34214.0,51.0,18.0
1013,IC4 retrovirus,0,IC4 retrovirus,,,,
1014,Iltovirus gallidalpha1,GCF_008787145.1,Iltovirus gallidalpha1,GCF_008787145.1,152975.0,48.0,79.0
1015,Iltovirus psittacidalpha1,GCF_000840765.1,Iltovirus psittacidalpha1,GCF_000840765.1,163025.0,61.0,77.0
1016,Iltovirus psittacidalpha5,GCF_029884945.1,Iltovirus psittacidalpha5,GCF_029884945.1,120899.0,43.5,81.0
1017,JDV virus,0,JDV virus,,,,
1018,Java sparrow circovirus,,Java sparrow circovirus,,,,
1019,Jingmen ascaridia virus 1,0,Jingmen ascaridia virus 1,,,,
1020,Jingmen birna-like virus,0,Jingmen birna-like virus,,,,
1021,Jingmen bunya-like virus 1,0,Jingmen bunya-like virus 1,,,,
1022,Jingmen picobirna-like virus 1,0,Jingmen picobirna-like virus 1,,,,
1023,Jingmen picorna-like virus,GCF_001961255.1,Jingmen picorna-like virus,GCF_001961255.1,10069.0,43.5,1.0
1024,Jingmen tombus-like virus 1,GCF_002008755.1,Jingmen tombus-like virus 1,GCF_002008755.1,7949.0,57.0,2.0
1025,Jingmen tombus-like virus 2,GCF_002004055.1,Jingmen tombus-like virus 2,GCF_002004055.1,4100.0,48.5,3.0
1026,Jingmen toti-like virus 1,0,Jingmen toti-like virus 1,,,,
1027,Justusliebigvirus phi92,0,Justusliebigvirus phi92,,,,
1028,Kagge virus,0,Kagge virus,,,,
1029,Kammavanpettai virus,0,Kammavanpettai virus,,,,
1030,Kannamangalam virus,0,Kannamangalam virus,,,,
1031,Kedah fatal kidney syndrome virus,0,Kedah fatal kidney syndrome virus,,,,
1032,Kestrel picornavirus,0,Kestrel picornavirus,,,,
1033,Ketchum virus,0,Ketchum virus,,,,
1034,Khabarov virus,0,Khabarov virus,,,,
1035,Khurdivirus volgaense,GCF_023156525.1,Khurdivirus volgaense,GCF_023156525.1,10679.0,36.0,3.0
1036,Kittiwake papillomavirus 1,0,Kittiwake papillomavirus 1,,,,
1037,Kittiwake papillomavirus 2,0,Kittiwake papillomavirus 2,GCA_031189345.1,7763.0,56.5,7.0
1038,Kittiwake papillomavirus 3,0,Kittiwake papillomavirus 3,,,,
1039,Kittiwake papillomavirus 4,0,Kittiwake papillomavirus 4,,,,
1040,Kittiwake papillomavirus 5,0,Kittiwake papillomavirus 5,,,,
1041,Kittiwake papillomavirus 6,0,Kittiwake papillomavirus 6,,,,
1042,Kittiwake papillomavirus 7,0,Kittiwake papillomavirus 7,,,,
1043,Kornilov virus,0,Kornilov virus,,,,
1044,Korotkevich virus,0,Korotkevich virus,,,,
1045,Krenkel virus,0,Krenkel virus,,,,
1046,Kunsagivirus A,GCF_002817165.1,Kunsagivirus A,GCF_002817165.1,7272.0,53.0,1.0
1047,Kyst virus,0,Kyst virus,,,,
1048,Lambdatorquevirus phoci5,0,Lambdatorquevirus phoci5,,,,
1049,Lanius cristatus parvoviridae sp.,,Lanius cristatus parvoviridae sp.,,,,
1050,Larsen virus,0,Larsen virus,,,,
1051,Larus argentatus herpesvirus,,Larus argentatus herpesvirus,,,,
1052,Larus ridibundus coronavirus,,Larus ridibundus coronavirus,,,,
1053,Lavender waxbill polyomavirus,,Lavender waxbill polyomavirus,,,,
1054,Lawrence virus,0,Lawrence virus,,,,
1055,Lazarev virus,0,Lazarev virus,,,,
1056,Leucosticte brandti pegivirus,,Leucosticte brandti pegivirus,GCA_031246675.1,10719.0,57.5,
1057,Little bittern circovirus,,Little bittern circovirus,GCA_031310635.1,1935.0,49.0,
1058,Loch Leven virus,,Loch Leven virus,,,,
1059,Lonchura striata deltavirus,,Lonchura striata deltavirus,GCA_031232885.1,1708.0,56.0,1.0
1060,Lophura nycthemera aveparvovirus,,Lophura nycthemera aveparvovirus,,,,
1061,Lophura nycthemera parvoviridae sp.,,Lophura nycthemera parvoviridae sp.,,,,
1062,Ludopivirus A,GCF_004131145.1,Ludopivirus A,GCF_004131145.1,8051.0,47.5,1.0
1063,Luncke virus,0,Luncke virus,,,,
1064,Luscinia calliope CRESS-DNA-virus sp.,,Luscinia calliope CRESS-DNA-virus sp.,,,,
1065,Luscinia cyane CRESS-DNA-virus sp.,,Luscinia cyane CRESS-DNA-virus sp.,,,,
1066,Luscinia cyane Chaphamaparvovirus,,Luscinia cyane Chaphamaparvovirus,,,,
1067,Luscinia cyane Ichthamaparvovirus,,Luscinia cyane Ichthamaparvovirus,,,,
1068,Luscinia cyane parvoviridae sp.,,Luscinia cyane parvoviridae sp.,,,,
1069,Luscinia sibilans CRESS-DNA-virus sp.,,Luscinia sibilans CRESS-DNA-virus sp.,,,,
1070,Luscinia sibilans parvo-like hybrid virus,,Luscinia sibilans parvo-like hybrid virus,,,,
1071,Luscinia sibilans parvoviridae sp.,,Luscinia sibilans parvoviridae sp.,,,,
1072,Luteoviridae sp.,,Luteoviridae sp.,,,,
1073,Lymphoproliferative disease virus,,Lymphoproliferative disease virus,GCA_031102365.1,7432.0,53.5,
1074,Lyssavirus australis,0,Lyssavirus australis,GCF_000850325.1,11822.0,44.0,5.0
1075,Lyssavirus rabies,0,Lyssavirus rabies,GCF_000859625.1,11932.0,45.0,5.0
1076,MLV-related retrovirus,0,MLV-related retrovirus,,,,
1077,Magellan virus,0,Magellan virus,,,,
1078,Magpie circovirus,,Magpie circovirus,,,,
1079,Magpie hepacivirus,,Magpie hepacivirus,,,,
1080,Magpie-robin coronavirus HKU18,GCF_000894435.1,Magpie-robin coronavirus HKU18,GCF_000894435.1,26689.0,46.5,9.0
1081,Magpiepox virus,0,Magpiepox virus,GCA_031198355.1,293226.0,29.5,352.0
1082,Magpiepox virus 2,,Magpiepox virus 2,GCA_031268825.1,298392.0,29.5,
1083,Maksutov virus,0,Maksutov virus,,,,
1084,Malazfec virus 1,,Malazfec virus 1,GCA_036760835.1,39041.0,34.5,
1085,Malazfec virus 10,,Malazfec virus 10,,,,
1086,Malazfec virus 11,,Malazfec virus 11,,,,
1087,Malazfec virus 12,,Malazfec virus 12,,,,
1088,Malazfec virus 13,,Malazfec virus 13,,,,
1089,Malazfec virus 14,,Malazfec virus 14,,,,
1090,Malazfec virus 15,,Malazfec virus 15,,,,
1091,Malazfec virus 16,,Malazfec virus 16,,,,
1092,Malazfec virus 17,,Malazfec virus 17,,,,
1093,Malazfec virus 18,,Malazfec virus 18,,,,
1094,Malazfec virus 19,,Malazfec virus 19,,,,
1095,Malazfec virus 20,,Malazfec virus 20,,,,
1096,Malazfec virus 21,,Malazfec virus 21,,,,
1097,Malazfec virus 22,,Malazfec virus 22,,,,
1098,Malazfec virus 23,,Malazfec virus 23,,,,
1099,Malazfec virus 24,,Malazfec virus 24,,,,
1100,Malazfec virus 25,,Malazfec virus 25,,,,
1101,Malazfec virus 9,,Malazfec virus 9,,,,
1102,Marcaroli circovirus,,Marcaroli circovirus,,,,
1103,Mardivirus anatidalpha1,GCF_000885795.1,Mardivirus anatidalpha1,GCF_000885795.1,158091.0,45.0,77.0
1104,Mardivirus columbidalpha1,GCF_002116095.1,Mardivirus columbidalpha1,GCF_002116095.1,204237.0,61.5,130.0
1105,Mardivirus gallidalpha2,GCF_000846265.1,Mardivirus gallidalpha2,GCF_000846265.1,177874.0,44.0,87.0
1106,Mardivirus gallidalpha3,GCF_008792185.1,Mardivirus gallidalpha3,GCF_008792185.1,165994.0,53.5,124.0
1107,Mardivirus meleagridalpha1,GCF_000839725.1,Mardivirus meleagridalpha1,GCF_000839725.1,159160.0,47.5,79.0
1108,Mardivirus spheniscidalpha1,GCF_001974335.1,Mardivirus spheniscidalpha1,GCF_001974335.1,164540.0,45.5,86.0
1109,Marr virus,0,Marr virus,,,,
1110,Mason Creek virus,0,Mason Creek virus,,,,
1111,Mawson virus,0,Mawson virus,,,,
1112,Mayaro virus,,Mayaro virus,GCF_000863385.1,11411.0,50.5,4.0
1113,Maypo virus,,Maypo virus,,,,
1114,Megrivirus A,GCF_002008395.1,Megrivirus A,GCF_002008395.1,10101.0,46.0,1.0
1115,Megrivirus B,GCF_003028975.1,Megrivirus B,GCF_003028975.1,9101.0,47.5,1.0
1116,Megrivirus C,GCF_003029035.1,Megrivirus C,GCF_003029035.1,9560.0,45.0,1.0
1117,Megrivirus D,GCF_002184175.1,Megrivirus D,GCF_002184175.1,8541.0,45.5,1.0
1118,Megrivirus E,GCF_003029615.1,Megrivirus E,GCF_003029615.1,9702.0,43.0,1.0
1119,Megrivirus sp.,,Megrivirus sp.,GCA_031242715.1,9184.0,47.5,
1120,Meldvirus gallus11737,,Meldvirus gallus11737,,,,
1121,Meleagrid alphaherpesvirus 2,,Meleagrid alphaherpesvirus 2,,,,
1122,Melegrivirus A,GCF_000917935.1,Melegrivirus A,GCF_000917935.1,9739.0,45.5,1.0
1123,Mella virus,0,Mella virus,,,,
1124,Metaavulavirus delawarense,GCF_002815215.1,Metaavulavirus delawarense,GCF_002815215.1,15342.0,41.5,6.0
1125,Metaavulavirus falklandense,GCF_002080355.1,Metaavulavirus falklandense,GCF_002080355.1,15456.0,42.0,6.0
1126,Metaavulavirus galliense,GCF_000924755.1,Metaavulavirus galliense,GCF_000924755.1,17412.0,39.0,7.0
1127,Metaavulavirus hongkongense,GCF_002815195.1,Metaavulavirus hongkongense,GCF_002815195.1,16236.0,46.5,7.0
1128,Metaavulavirus japanense,GCF_003032665.1,Metaavulavirus japanense,GCF_003032665.1,15444.0,43.5,6.0
1129,Metaavulavirus kazakhstanense,GCF_004130815.1,Metaavulavirus kazakhstanense,GCF_004130815.1,15954.0,40.0,6.0
1130,Metaavulavirus kunitachiense,GCF_000924655.1,Metaavulavirus kunitachiense,GCF_000924655.1,17262.0,40.0,6.0
1131,Metaavulavirus peixense,GCF_002197575.1,Metaavulavirus peixense,GCF_002197575.1,14964.0,40.5,6.0
1132,Metaavulavirus sp.,,Metaavulavirus sp.,,,,
1133,Metaavulavirus taiwanense,,Metaavulavirus taiwanense,,,,
1134,Metaavulavirus tennessense,GCF_000926535.1,Metaavulavirus tennessense,GCF_000926535.1,15480.0,39.0,6.0
1135,Metaavulavirus yucaipaense,GCF_002989675.1,Metaavulavirus yucaipaense,GCF_002989675.1,14904.0,47.0,6.0
1136,Metapneumovirus avis,,Metapneumovirus avis,,,,
1137,Microbacterium phage P8_2022_SA,,Microbacterium phage P8_2022_SA,,,,
1138,Middelburg virus,,Middelburg virus,GCF_000921735.1,11550.0,53.0,2.0
1139,Montifringilla taczanowskii coronavirus N,,Montifringilla taczanowskii coronavirus N,,,,
1140,Montifringilla taczanowskii pegivirus,,Montifringilla taczanowskii pegivirus,GCA_031246695.1,10866.0,57.0,
1141,Morbillivirus canis,,Morbillivirus canis,,,,
1142,Mosavirus A,GCF_000918135.1,Mosavirus A,GCF_000918135.1,8398.0,45.5,1.0
1143,Motacilla cinerea CRESS-DNA-virus sp.,,Motacilla cinerea CRESS-DNA-virus sp.,,,,
1144,Motacilla cinerea Circoviridae sp.,,Motacilla cinerea Circoviridae sp.,,,,
1145,Motacilla cinerea parvo-like hybrid virus,,Motacilla cinerea parvo-like hybrid virus,,,,
1146,Motacilla cinerea parvoviridae sp.,,Motacilla cinerea parvoviridae sp.,,,,
1147,Mott virus,0,Mott virus,,,,
1148,Mudlarkpox virus,,Mudlarkpox virus,GCA_031242895.1,342723.0,30.0,
1149,Munia coronavirus HKU13,GCF_000880835.1,Munia coronavirus HKU13,GCF_000880835.1,26552.0,42.5,9.0
1150,Murine mastadenovirus B,0,Murine mastadenovirus B,,,,
1151,Muscicapa latirostris CRESS-DNA-virus sp.,,Muscicapa latirostris CRESS-DNA-virus sp.,,,,
1152,Mute swan associated circo-like virus,,Mute swan associated circo-like virus,,,,
1153,Mute swan feces associated avastrovius 1,,Mute swan feces associated avastrovius 1,,,,
1154,Mute swan feces associated avastrovius 2,,Mute swan feces associated avastrovius 2,,,,
1155,Mute swan feces associated aveparvovirus,,Mute swan feces associated aveparvovirus,,,,
1156,Mute swan feces associated avihepatovirus,,Mute swan feces associated avihepatovirus,,,,
1157,Mute swan feces associated calicivirus,,Mute swan feces associated calicivirus,,,,
1158,Mute swan feces associated chapparvovirus 1,,Mute swan feces associated chapparvovirus 1,,,,
1159,Mute swan feces associated chapparvovirus 2,,Mute swan feces associated chapparvovirus 2,,,,
1160,Mute swan feces associated chapparvovirus 3,,Mute swan feces associated chapparvovirus 3,,,,
1161,Mute swan feces associated chapparvovirus 4,,Mute swan feces associated chapparvovirus 4,,,,
1162,Mute swan feces associated chapparvovirus 5,,Mute swan feces associated chapparvovirus 5,,,,
1163,Mute swan feces associated chapparvovirus 6,,Mute swan feces associated chapparvovirus 6,,,,
1164,Mute swan feces associated circular virus 1,,Mute swan feces associated circular virus 1,,,,
1165,Mute swan feces associated circular virus 10,,Mute swan feces associated circular virus 10,,,,
1166,Mute swan feces associated circular virus 11,,Mute swan feces associated circular virus 11,,,,
1167,Mute swan feces associated circular virus 12,,Mute swan feces associated circular virus 12,,,,
1168,Mute swan feces associated circular virus 13,,Mute swan feces associated circular virus 13,,,,
1169,Mute swan feces associated circular virus 14,,Mute swan feces associated circular virus 14,,,,
1170,Mute swan feces associated circular virus 15,,Mute swan feces associated circular virus 15,,,,
1171,Mute swan feces associated circular virus 16,,Mute swan feces associated circular virus 16,,,,
1172,Mute swan feces associated circular virus 17,,Mute swan feces associated circular virus 17,,,,
1173,Mute swan feces associated circular virus 2,,Mute swan feces associated circular virus 2,,,,
1174,Mute swan feces associated circular virus 3,,Mute swan feces associated circular virus 3,,,,
1175,Mute swan feces associated circular virus 4,,Mute swan feces associated circular virus 4,,,,
1176,Mute swan feces associated circular virus 5,,Mute swan feces associated circular virus 5,,,,
1177,Mute swan feces associated circular virus 6,,Mute swan feces associated circular virus 6,,,,
1178,Mute swan feces associated circular virus 7,,Mute swan feces associated circular virus 7,,,,
1179,Mute swan feces associated circular virus 8,,Mute swan feces associated circular virus 8,,,,
1180,Mute swan feces associated circular virus 9,,Mute swan feces associated circular virus 9,,,,
1181,Mute swan feces associated gammacoronavirus,,Mute swan feces associated gammacoronavirus,,,,
1182,Mute swan feces associated gemycircularvirus 1,,Mute swan feces associated gemycircularvirus 1,,,,
1183,Mute swan feces associated hepatovirus 1,,Mute swan feces associated hepatovirus 1,,,,
1184,Mute swan feces associated hepatovirus 2,,Mute swan feces associated hepatovirus 2,,,,
1185,Mute swan feces associated hepatovirus 3,,Mute swan feces associated hepatovirus 3,,,,
1186,Mute swan feces associated hepatovirus 4,,Mute swan feces associated hepatovirus 4,,,,
1187,Mute swan feces associated noda-like virus 1,,Mute swan feces associated noda-like virus 1,,,,
1188,Mute swan feces associated noda-like virus 2,,Mute swan feces associated noda-like virus 2,,,,
1189,Mute swan feces associated noda-like virus 3,,Mute swan feces associated noda-like virus 3,,,,
1190,Mute swan feces associated noda-like virus 4,,Mute swan feces associated noda-like virus 4,,,,
1191,Mute swan feces associated noda-like virus 5,,Mute swan feces associated noda-like virus 5,,,,
1192,Mute swan feces associated noda-like virus 6,,Mute swan feces associated noda-like virus 6,,,,
1193,Mute swan feces associated noda-like virus 7,,Mute swan feces associated noda-like virus 7,,,,
1194,Mute swan feces associated noda-like virus 8,,Mute swan feces associated noda-like virus 8,,,,
1195,Mute swan feces associated noda-like virus 9,,Mute swan feces associated noda-like virus 9,,,,
1196,Mute swan feces associated partitiviridae 1,,Mute swan feces associated partitiviridae 1,,,,
1197,Mute swan feces associated partitiviridae A,,Mute swan feces associated partitiviridae A,,,,
1198,Mute swan feces associated partitiviridae B,,Mute swan feces associated partitiviridae B,,,,
1199,Mute swan feces associated partitiviridae C,,Mute swan feces associated partitiviridae C,,,,
1200,Mute swan feces associated partitiviridae D,,Mute swan feces associated partitiviridae D,,,,
1201,Mute swan feces associated partitiviridae E,,Mute swan feces associated partitiviridae E,,,,
1202,Mute swan feces associated partitiviridae F,,Mute swan feces associated partitiviridae F,,,,
1203,Mute swan feces associated partitiviridae G,,Mute swan feces associated partitiviridae G,,,,
1204,Mute swan feces associated partitiviridae H,,Mute swan feces associated partitiviridae H,,,,
1205,Mute swan feces associated partitiviridae I,,Mute swan feces associated partitiviridae I,,,,
1206,Mute swan feces associated partitiviridae J,,Mute swan feces associated partitiviridae J,,,,
1207,Mute swan feces associated partitiviridae K,,Mute swan feces associated partitiviridae K,,,,
1208,Mute swan feces associated partitiviridae L,,Mute swan feces associated partitiviridae L,,,,
1209,Mute swan feces associated partitiviridae M,,Mute swan feces associated partitiviridae M,,,,
1210,Mute swan feces associated partitiviridae N,,Mute swan feces associated partitiviridae N,,,,
1211,Mute swan feces associated partitiviridae O,,Mute swan feces associated partitiviridae O,,,,
1212,Mute swan feces associated picobirnavirus 1,,Mute swan feces associated picobirnavirus 1,,,,
1213,Mute swan feces associated picobirnavirus 2,,Mute swan feces associated picobirnavirus 2,,,,
1214,Mute swan feces associated picobirnavirus 3,,Mute swan feces associated picobirnavirus 3,,,,
1215,Mute swan feces associated picobirnavirus A,,Mute swan feces associated picobirnavirus A,,,,
1216,Mute swan feces associated picobirnavirus B,,Mute swan feces associated picobirnavirus B,,,,
1217,Mute swan feces associated picorna-like virus 1,,Mute swan feces associated picorna-like virus 1,,,,
1218,Mute swan feces associated picorna-like virus 10,,Mute swan feces associated picorna-like virus 10,,,,
1219,Mute swan feces associated picorna-like virus 11,,Mute swan feces associated picorna-like virus 11,,,,
1220,Mute swan feces associated picorna-like virus 12,,Mute swan feces associated picorna-like virus 12,,,,
1221,Mute swan feces associated picorna-like virus 13,,Mute swan feces associated picorna-like virus 13,,,,
1222,Mute swan feces associated picorna-like virus 14,,Mute swan feces associated picorna-like virus 14,,,,
1223,Mute swan feces associated picorna-like virus 15,,Mute swan feces associated picorna-like virus 15,,,,
1224,Mute swan feces associated picorna-like virus 16,,Mute swan feces associated picorna-like virus 16,,,,
1225,Mute swan feces associated picorna-like virus 17,,Mute swan feces associated picorna-like virus 17,,,,
1226,Mute swan feces associated picorna-like virus 18,,Mute swan feces associated picorna-like virus 18,,,,
1227,Mute swan feces associated picorna-like virus 19,,Mute swan feces associated picorna-like virus 19,,,,
1228,Mute swan feces associated picorna-like virus 2,,Mute swan feces associated picorna-like virus 2,,,,
1229,Mute swan feces associated picorna-like virus 20,,Mute swan feces associated picorna-like virus 20,,,,
1230,Mute swan feces associated picorna-like virus 21,,Mute swan feces associated picorna-like virus 21,,,,
1231,Mute swan feces associated picorna-like virus 22,,Mute swan feces associated picorna-like virus 22,,,,
1232,Mute swan feces associated picorna-like virus 23,,Mute swan feces associated picorna-like virus 23,,,,
1233,Mute swan feces associated picorna-like virus 24,,Mute swan feces associated picorna-like virus 24,,,,
1234,Mute swan feces associated picorna-like virus 25,,Mute swan feces associated picorna-like virus 25,,,,
1235,Mute swan feces associated picorna-like virus 26,,Mute swan feces associated picorna-like virus 26,,,,
1236,Mute swan feces associated picorna-like virus 27,,Mute swan feces associated picorna-like virus 27,,,,
1237,Mute swan feces associated picorna-like virus 28,,Mute swan feces associated picorna-like virus 28,,,,
1238,Mute swan feces associated picorna-like virus 29,,Mute swan feces associated picorna-like virus 29,,,,
1239,Mute swan feces associated picorna-like virus 3,,Mute swan feces associated picorna-like virus 3,,,,
1240,Mute swan feces associated picorna-like virus 4,,Mute swan feces associated picorna-like virus 4,,,,
1241,Mute swan feces associated picorna-like virus 5,,Mute swan feces associated picorna-like virus 5,,,,
1242,Mute swan feces associated picorna-like virus 6,,Mute swan feces associated picorna-like virus 6,,,,
1243,Mute swan feces associated picorna-like virus 7,,Mute swan feces associated picorna-like virus 7,,,,
1244,Mute swan feces associated picorna-like virus 8,,Mute swan feces associated picorna-like virus 8,,,,
1245,Mute swan feces associated picorna-like virus 9,,Mute swan feces associated picorna-like virus 9,,,,
1246,Mute swan feces associated sapelovirus 1,,Mute swan feces associated sapelovirus 1,,,,
