Pathogen Species,Species,GA,size,gc,genes,GA_missing,size_missing,gc_missing,genes_missing
Fregata magnificens alphaherpesvirus 1,Fregata magnificens alphaherpesvirus 1,,,,,1,1,1,1
Fregata magnificens herpesvirus,Fregata magnificens herpesvirus,,,,,1,1,1,1
French Guiana picornavirus,French Guiana picornavirus,GCA_031239545.1,7645.0,44.0,,0,0,0,1
French Guiana reovirus,French Guiana reovirus,,,,,1,1,1,1
Fringilla montifringilla CRESS-DNA-virus sp.,Fringilla montifringilla CRESS-DNA-virus sp.,,,,,1,1,1,1
Fringilla montifringilla Chaphamaparvovirus,Fringilla montifringilla Chaphamaparvovirus,,,,,1,1,1,1
Fringilla montifringilla Circoviridae sp.,Fringilla montifringilla Circoviridae sp.,,,,,1,1,1,1
Fringilla montifringilla Genomoviridae sp.,Fringilla montifringilla Genomoviridae sp.,,,,,1,1,1,1
Fringilla montifringilla parvoviridae sp.,Fringilla montifringilla parvoviridae sp.,,,,,1,1,1,1
Fuchs virus,Fuchs virus,,,,,1,1,1,1
Gallid herpesvirus,Gallid herpesvirus,,,,,1,1,1,1
Galliform chaphamaparvovirus 10,Galliform chaphamaparvovirus 10,GCA_031311165.1,4211.0,44.5,,0,0,0,1
Galliform chaphamaparvovirus 11,Galliform chaphamaparvovirus 11,GCA_031311175.1,4070.0,43.5,,0,0,0,1
Galliform chaphamaparvovirus 12,Galliform chaphamaparvovirus 12,GCA_031311185.1,3429.0,42.0,,0,0,0,1
Galliform chaphamaparvovirus 13,Galliform chaphamaparvovirus 13,GCA_031311195.1,2582.0,43.0,,0,0,0,1
Galliform chaphamaparvovirus 14,Galliform chaphamaparvovirus 14,GCA_031311205.1,1948.0,44.5,,0,0,0,1
Galliform chaphamaparvovirus 15,Galliform chaphamaparvovirus 15,GCA_031311215.1,1914.0,40.5,,0,0,0,1
Galliform chaphamaparvovirus 16,Galliform chaphamaparvovirus 16,GCA_031311225.1,1895.0,44.5,,0,0,0,1
Galliform chaphamaparvovirus 17,Galliform chaphamaparvovirus 17,GCA_031311235.1,1622.0,45.0,,0,0,0,1
Galliform chaphamaparvovirus 6,Galliform chaphamaparvovirus 6,GCA_031311245.1,4270.0,44.5,,0,0,0,1
Galliform chaphamaparvovirus 7,Galliform chaphamaparvovirus 7,GCA_031311255.1,4230.0,42.5,,0,0,0,1
Galliform chaphamaparvovirus 8,Galliform chaphamaparvovirus 8,GCA_031311265.1,4225.0,40.5,,0,0,0,1
Galliform chaphamaparvovirus 9,Galliform chaphamaparvovirus 9,GCA_031311275.1,4212.0,43.0,,0,0,0,1
Gallivirus A,Gallivirus A,GCF_000924095.1,8432.0,45.0,1.0,0,0,0,0
Gallivirus Pf-CHK1/GV,Gallivirus Pf-CHK1/GV,GCF_001500755.1,8506.0,45.5,1.0,0,0,0,0
Gallivirus sp.,Gallivirus sp.,,,,,1,1,1,1
Gammacoronavirus sp.,Gammacoronavirus sp.,,,,,1,1,1,1
Gammapolyomavirus anseris,Gammapolyomavirus anseris,,,,,1,1,1,1
Gammapolyomavirus avis,Gammapolyomavirus avis,,,,,1,1,1,1
Gammapolyomavirus corvi,Gammapolyomavirus corvi,GCF_000868965.1,5079.0,45.5,6.0,0,0,0,0
Gammapolyomavirus cratorquatus,Gammapolyomavirus cratorquatus,GCF_000914155.1,5084.0,45.5,6.0,0,0,0,0
Gammapolyomavirus egouldiae,Gammapolyomavirus egouldiae,GCF_003033365.1,5172.0,44.5,6.0,0,0,0,0
Gammapolyomavirus lonmaja,Gammapolyomavirus lonmaja,GCF_003033375.1,5284.0,51.0,6.0,0,0,0,0
Gammapolyomavirus padeliae,Gammapolyomavirus padeliae,GCF_000930155.1,4988.0,52.5,5.0,0,0,0,0
Gammapolyomavirus pypyrrhula,Gammapolyomavirus pypyrrhula,GCF_000864605.1,5278.0,51.0,6.0,0,0,0,0
Gammapolyomavirus secanaria,Gammapolyomavirus secanaria,GCF_000896095.1,5421.0,49.0,5.0,0,0,0,0
Garrulus glandarius associated circular virus 1,Garrulus glandarius associated circular virus 1,GCF_002219445.1,1971.0,45.0,2.0,0,0,0,0
Garrulus glandarius parvoviridae sp.,Garrulus glandarius parvoviridae sp.,,,,,1,1,1,1
Gaviid herpesvirus 1,Gaviid herpesvirus 1,,,,,1,1,1,1
Gemycircularvirus blabi1,Gemycircularvirus blabi1,,,,,1,1,1,1
Gemycircularvirus chicas1,Gemycircularvirus chicas1,GCF_001646115.1,2247.0,52.5,3.0,0,0,0,0
Gemycircularvirus chicas2,Gemycircularvirus chicas2,GCF_001646335.1,2230.0,53.0,3.0,0,0,0,0
Gemycircularvirus chickad1,Gemycircularvirus chickad1,GCF_001273685.1,2152.0,52.0,2.0,0,0,0,0
Gemycircularvirus furse1,Gemycircularvirus furse1,,,,,1,1,1,1
Gemycircularvirus geras1,Gemycircularvirus geras1,GCF_000928755.1,2288.0,54.0,2.0,0,0,0,0
Gemycircularvirus geras2,Gemycircularvirus geras2,GCF_000929795.1,2187.0,50.5,2.0,0,0,0,0
Gemycircularvirus geras3,Gemycircularvirus geras3,GCF_000927875.1,2199.0,53.0,2.0,0,0,0,0
Gemycircularvirus malas1,Gemycircularvirus malas1,GCF_000927855.1,2290.0,47.5,2.0,0,0,0,0
Gemycircularvirus sp.,Gemycircularvirus sp.,GCF_003848605.1,2138.0,50.0,2.0,0,0,0,0
Gemygorvirus malas1,Gemygorvirus malas1,GCF_001646535.1,2194.0,53.0,3.0,0,0,0,0
Gemygorvirus stara1,Gemygorvirus stara1,GCF_000930475.1,2229.0,51.0,2.0,0,0,0,0
Gemykibivirus blabi1,Gemykibivirus blabi1,GCF_000927915.1,2130.0,50.5,2.0,0,0,0,0
Gemykibivirus blaro1,Gemykibivirus blaro1,GCF_000928815.1,2174.0,52.0,2.0,0,0,0,0
Gemykibivirus galga1,Gemykibivirus galga1,GCF_018589205.1,2189.0,52.0,2.0,0,0,0,0
Gemykibivirus galga2,Gemykibivirus galga2,GCF_018589245.1,2183.0,52.5,2.0,0,0,0,0
Gemykibivirus galga3,Gemykibivirus galga3,GCF_018589115.1,2173.0,51.0,2.0,0,0,0,0
Gemykibivirus sewopo1,Gemykibivirus sewopo1,GCF_001646055.1,2136.0,50.5,3.0,0,0,0,0
Gemykrogvirus galga1,Gemykrogvirus galga1,GCF_018589195.1,2142.0,48.0,2.0,0,0,0,0
Gemykrogvirus galga2,Gemykrogvirus galga2,GCF_001967675.1,2143.0,49.0,2.0,0,0,0,0
Gemykrogvirus galga3,Gemykrogvirus galga3,GCF_018589075.1,2216.0,52.0,2.0,0,0,0,0
Gemykrogvirus galga4,Gemykrogvirus galga4,GCF_018589215.1,2160.0,50.0,2.0,0,0,0,0
Gemykrogvirus galga5,Gemykrogvirus galga5,GCF_018589065.1,2222.0,52.0,2.0,0,0,0,0
Gemytondvirus ostri1,Gemytondvirus ostri1,GCF_000928795.1,2122.0,48.5,2.0,0,0,0,0
Genomoviridae sp.,Genomoviridae sp.,GCF_018591135.1,2178.0,54.0,2.0,0,0,0,0
Gentoo penguin virus,Gentoo penguin virus,,,,,1,1,1,1
Gerritsz virus,Gerritsz virus,,,,,1,1,1,1
Ghabrivirales sp.,Ghabrivirales sp.,,,,,1,1,1,1
Goose adenovirus 5,Goose adenovirus 5,,,,,1,1,1,1
Goose adenovirus Y81G4,Goose adenovirus Y81G4,,,,,1,1,1,1
Goose astrovirus,Goose astrovirus,GCF_002146085.1,7299.0,41.5,3.0,0,0,0,0
Goose astrovirus 1,Goose astrovirus 1,GCA_031301795.1,7310.0,42.0,,0,0,0,1
Goose astrovirus 2,Goose astrovirus 2,GCA_031242835.1,7183.0,43.5,3.0,0,0,0,0
Goose aviadenovirus A,Goose aviadenovirus A,GCF_000897155.1,43376.0,44.5,35.0,0,0,0,0
Goose calicivirus,Goose calicivirus,GCF_000920715.1,8013.0,54.5,2.0,0,0,0,0
Goose parvovirus SDDY21,Goose parvovirus SDDY21,,,,,1,1,1,1
Goose parvovirus SDJN21,Goose parvovirus SDJN21,,,,,1,1,1,1
Goose parvovirus SDWF22,Goose parvovirus SDWF22,,,,,1,1,1,1
Goose pegivirus 1,Goose pegivirus 1,GCA_031250005.1,11479.0,57.5,,0,0,0,1
Goose pegivirus 2,Goose pegivirus 2,GCA_031250015.1,11195.0,58.5,,0,0,0,1
Goose-dominant Coronavirus,Goose-dominant Coronavirus,,,,,1,1,1,1
Gouldian finch adenovirus 1,Gouldian finch adenovirus 1,,,,,1,1,1,1
Gouldian finch circovirus,Gouldian finch circovirus,,,,,1,1,1,1
Great tit siadenovirus A,Great tit siadenovirus A,GCF_002925555.1,13628.0,37.5,10.0,0,0,0,0
Grey teal calicivirus,Grey teal calicivirus,,,,,1,1,1,1
Grey teal chaphamaparvovirus,Grey teal chaphamaparvovirus,,,,,1,1,1,1
Grey teal gyrovirus,Grey teal gyrovirus,,,,,1,1,1,1
Grey teal parvovirus,Grey teal parvovirus,,,,,1,1,1,1
Grey teal picobirnavirus X,Grey teal picobirnavirus X,,,,,1,1,1,1
Grey teal picobirnavirus Z,Grey teal picobirnavirus Z,,,,,1,1,1,1
Grey teal picobirnavirus y,Grey teal picobirnavirus y,,,,,1,1,1,1
Griffon vulture papillomavirus,Griffon vulture papillomavirus,,,,,1,1,1,1
Gruhelivirus A,Gruhelivirus A,GCF_013087255.1,7073.0,43.5,1.0,0,0,0,0
Grus japonensis CRESS-DNA-virus sp.,Grus japonensis CRESS-DNA-virus sp.,,,,,1,1,1,1
Grus japonensis Chaphamaparvovirus,Grus japonensis Chaphamaparvovirus,,,,,1,1,1,1
Grus japonensis parvo-like hybrid virus,Grus japonensis parvo-like hybrid virus,,,,,1,1,1,1
Grus japonensis parvoviridae sp.,Grus japonensis parvoviridae sp.,,,,,1,1,1,1
Grus monacha CRESS-DNA-virus sp.,Grus monacha CRESS-DNA-virus sp.,,,,,1,1,1,1
Grus nigricollis-associatied genomovirus,Grus nigricollis-associatied genomovirus,,,,,1,1,1,1
Grusopivirus A,Grusopivirus A,GCF_003390015.1,7917.0,41.0,1.0,0,0,0,0
Grusopivirus B,Grusopivirus B,GCF_003390035.1,7104.0,42.5,1.0,0,0,0,0
Grusopivirus C,Grusopivirus C,GCF_004995665.1,7862.0,39.5,1.0,0,0,0,0
Grusopivirus sp.,Grusopivirus sp.,,,,,1,1,1,1
Guinea fowl astrovirus,Guinea fowl astrovirus,,,,,1,1,1,1
Guinea fowl circovirus,Guinea fowl circovirus,,,,,1,1,1,1
Guinea fowl picornavirus,Guinea fowl picornavirus,GCA_031243325.1,8061.0,41.0,,0,0,0,1
Gull adenovirus,Gull adenovirus,,,,,1,1,1,1
Gull coronavirus,Gull coronavirus,,,,,1,1,1,1
Gull metapneumovirus,Gull metapneumovirus,GCA_031192995.1,14458.0,42.0,9.0,0,0,0,0
Gull papillomavirus 1,Gull papillomavirus 1,GCA_031189325.1,7699.0,57.5,7.0,0,0,0,0
Gull papillomavirus 2,Gull papillomavirus 2,,,,,1,1,1,1
Gull papillomavirus 3,Gull papillomavirus 3,,,,,1,1,1,1
Gyrovirus 10,Gyrovirus 10,GCA_003260835.1,2195.0,51.5,3.0,0,0,0,0
Gyrovirus 2126_10,Gyrovirus 2126_10,,,,,1,1,1,1
Gyrovirus 2316_26,Gyrovirus 2316_26,,,,,1,1,1,1
Gyrovirus 2316_32,Gyrovirus 2316_32,,,,,1,1,1,1
Gyrovirus 2885_18H,Gyrovirus 2885_18H,,,,,1,1,1,1
Gyrovirus 2885_18K,Gyrovirus 2885_18K,,,,,1,1,1,1
Gyrovirus 2885_18L,Gyrovirus 2885_18L,,,,,1,1,1,1
Gyrovirus 3,Gyrovirus 3,GCA_031191135.1,2356.0,53.0,3.0,0,0,0,0
Gyrovirus 6,Gyrovirus 6,GCA_031191145.1,2220.0,52.5,3.0,0,0,0,0
Gyrovirus 9,Gyrovirus 9,GCA_031236225.1,2215.0,45.0,3.0,0,0,0,0
Gyrovirus VC5,Gyrovirus VC5,,,,,1,1,1,1
Gyrovirus VC7,Gyrovirus VC7,,,,,1,1,1,1
Gyrovirus chickenanemia,Gyrovirus chickenanemia,,,,,1,1,1,1
Gyrovirus fulgla1,Gyrovirus fulgla1,GCF_001045285.1,2218.0,49.5,3.0,0,0,0,0
Gyrovirus galga1,Gyrovirus galga1,GCF_000891935.1,2383.0,53.5,3.0,0,0,0,0
Gyrovirus homsa1,Gyrovirus homsa1,,,,,1,1,1,1
Gyrovirus homsa2,Gyrovirus homsa2,,,,,1,1,1,1
Gyrovirus homsa3,Gyrovirus homsa3,,,,,1,1,1,1
Gyrovirus hydho1,Gyrovirus hydho1,GCF_004134085.1,2394.0,53.0,4.0,0,0,0,0
Gyrovirus myferr1,Gyrovirus myferr1,GCF_018583945.1,1873.0,54.5,3.0,0,0,0,0
Halley virus,Halley virus,,,,,1,1,1,1
Halvorsen virus,Halvorsen virus,,,,,1,1,1,1
Hapavirus flanders,Hapavirus flanders,GCF_002815595.1,13038.0,37.0,9.0,0,0,0,0
Hapavirus landjia,Hapavirus landjia,GCF_002146145.1,13695.0,37.0,11.0,0,0,0,0
Harkavirus A,Harkavirus A,GCF_000981755.1,8003.0,42.0,1.0,0,0,0,0
Hawaiian goose poxvirus,Hawaiian goose poxvirus,,,,,1,1,1,1
Hawfinch circovirus,Hawfinch circovirus,,,,,1,1,1,1
Hedwig virus,Hedwig virus,,,,,1,1,1,1
Hepacivirus Q,Hepacivirus Q,GCA_031315615.1,9893.0,45.0,,0,0,0,1
Hepacivirus sp.,Hepacivirus sp.,GCA_031173525.1,8675.0,46.5,,0,0,0,1
Hepatitis B virus,Hepatitis B virus,GCF_003033055.1,3248.0,48.5,4.0,0,0,0,0
Hepatitis E virus,Hepatitis E virus,,,,,1,1,1,1
Hepeviridae sp.,Hepeviridae sp.,,,,,1,1,1,1
Heron hepatitis B virus,Heron hepatitis B virus,GCF_000861965.1,3027.0,45.0,5.0,0,0,0,0
Herpesvirus eupittula14478,Herpesvirus eupittula14478,,,,,1,1,1,1
Herpesvirus goose/GAV08/Poland/2008,Herpesvirus goose/GAV08/Poland/2008,,,,,1,1,1,1
Highlands J virus,Highlands J virus,GCF_000881255.1,11526.0,49.0,3.0,0,0,0,0
Hilary virus,Hilary virus,,,,,1,1,1,1
Houbara coronavirus UAE-HKU28,Houbara coronavirus UAE-HKU28,GCA_031171225.1,26155.0,39.5,10.0,0,0,0,0
Huchismacovirus chicas1,Huchismacovirus chicas1,GCF_003033445.1,2408.0,42.0,2.0,0,0,0,0
Huchismacovirus chicas2,Huchismacovirus chicas2,GCF_003033465.1,2459.0,42.5,2.0,0,0,0,0
Huchismacovirus sp.,Huchismacovirus sp.,GCA_031242685.1,2459.0,42.0,,0,0,0,1
Human mastadenovirus F,Human mastadenovirus F,GCF_000846685.1,34214.0,51.0,18.0,0,0,0,0
IC4 retrovirus,IC4 retrovirus,,,,,1,1,1,1
Iltovirus gallidalpha1,Iltovirus gallidalpha1,GCF_008787145.1,152975.0,48.0,79.0,0,0,0,0
Iltovirus psittacidalpha1,Iltovirus psittacidalpha1,GCF_000840765.1,163025.0,61.0,77.0,0,0,0,0
Iltovirus psittacidalpha5,Iltovirus psittacidalpha5,GCF_029884945.1,120899.0,43.5,81.0,0,0,0,0
JDV virus,JDV virus,,,,,1,1,1,1
Java sparrow circovirus,Java sparrow circovirus,,,,,1,1,1,1
Jingmen ascaridia virus 1,Jingmen ascaridia virus 1,,,,,1,1,1,1
Jingmen birna-like virus,Jingmen birna-like virus,,,,,1,1,1,1
Jingmen bunya-like virus 1,Jingmen bunya-like virus 1,,,,,1,1,1,1
Jingmen picobirna-like virus 1,Jingmen picobirna-like virus 1,,,,,1,1,1,1
Jingmen picorna-like virus,Jingmen picorna-like virus,GCF_001961255.1,10069.0,43.5,1.0,0,0,0,0
Jingmen tombus-like virus 1,Jingmen tombus-like virus 1,GCF_002008755.1,7949.0,57.0,2.0,0,0,0,0
Jingmen tombus-like virus 2,Jingmen tombus-like virus 2,GCF_002004055.1,4100.0,48.5,3.0,0,0,0,0
Jingmen toti-like virus 1,Jingmen toti-like virus 1,,,,,1,1,1,1
Justusliebigvirus phi92,Justusliebigvirus phi92,,,,,1,1,1,1
Kagge virus,Kagge virus,,,,,1,1,1,1
Kammavanpettai virus,Kammavanpettai virus,,,,,1,1,1,1
Kannamangalam virus,Kannamangalam virus,,,,,1,1,1,1
Kedah fatal kidney syndrome virus,Kedah fatal kidney syndrome virus,,,,,1,1,1,1
Kestrel picornavirus,Kestrel picornavirus,,,,,1,1,1,1
Ketchum virus,Ketchum virus,,,,,1,1,1,1
Khabarov virus,Khabarov virus,,,,,1,1,1,1
Khurdivirus volgaense,Khurdivirus volgaense,GCF_023156525.1,10679.0,36.0,3.0,0,0,0,0
Kittiwake papillomavirus 1,Kittiwake papillomavirus 1,,,,,1,1,1,1
Kittiwake papillomavirus 2,Kittiwake papillomavirus 2,GCA_031189345.1,7763.0,56.5,7.0,0,0,0,0
Kittiwake papillomavirus 3,Kittiwake papillomavirus 3,,,,,1,1,1,1
Kittiwake papillomavirus 4,Kittiwake papillomavirus 4,,,,,1,1,1,1
Kittiwake papillomavirus 5,Kittiwake papillomavirus 5,,,,,1,1,1,1
Kittiwake papillomavirus 6,Kittiwake papillomavirus 6,,,,,1,1,1,1
Kittiwake papillomavirus 7,Kittiwake papillomavirus 7,,,,,1,1,1,1
Kornilov virus,Kornilov virus,,,,,1,1,1,1
Korotkevich virus,Korotkevich virus,,,,,1,1,1,1
Krenkel virus,Krenkel virus,,,,,1,1,1,1
Kunsagivirus A,Kunsagivirus A,GCF_002817165.1,7272.0,53.0,1.0,0,0,0,0
Kyst virus,Kyst virus,,,,,1,1,1,1
Lambdatorquevirus phoci5,Lambdatorquevirus phoci5,,,,,1,1,1,1
Lanius cristatus parvoviridae sp.,Lanius cristatus parvoviridae sp.,,,,,1,1,1,1
Larsen virus,Larsen virus,,,,,1,1,1,1
Larus argentatus herpesvirus,Larus argentatus herpesvirus,,,,,1,1,1,1
Larus ridibundus coronavirus,Larus ridibundus coronavirus,,,,,1,1,1,1
Lavender waxbill polyomavirus,Lavender waxbill polyomavirus,,,,,1,1,1,1
Lawrence virus,Lawrence virus,,,,,1,1,1,1
Lazarev virus,Lazarev virus,,,,,1,1,1,1
Leucosticte brandti pegivirus,Leucosticte brandti pegivirus,GCA_031246675.1,10719.0,57.5,,0,0,0,1
Little bittern circovirus,Little bittern circovirus,GCA_031310635.1,1935.0,49.0,,0,0,0,1
Loch Leven virus,Loch Leven virus,,,,,1,1,1,1
Lonchura striata deltavirus,Lonchura striata deltavirus,GCA_031232885.1,1708.0,56.0,1.0,0,0,0,0
Lophura nycthemera aveparvovirus,Lophura nycthemera aveparvovirus,,,,,1,1,1,1
Lophura nycthemera parvoviridae sp.,Lophura nycthemera parvoviridae sp.,,,,,1,1,1,1
Ludopivirus A,Ludopivirus A,GCF_004131145.1,8051.0,47.5,1.0,0,0,0,0
Luncke virus,Luncke virus,,,,,1,1,1,1
Luscinia calliope CRESS-DNA-virus sp.,Luscinia calliope CRESS-DNA-virus sp.,,,,,1,1,1,1
Luscinia cyane CRESS-DNA-virus sp.,Luscinia cyane CRESS-DNA-virus sp.,,,,,1,1,1,1
Luscinia cyane Chaphamaparvovirus,Luscinia cyane Chaphamaparvovirus,,,,,1,1,1,1
Luscinia cyane Ichthamaparvovirus,Luscinia cyane Ichthamaparvovirus,,,,,1,1,1,1
Luscinia cyane parvoviridae sp.,Luscinia cyane parvoviridae sp.,,,,,1,1,1,1
Luscinia sibilans CRESS-DNA-virus sp.,Luscinia sibilans CRESS-DNA-virus sp.,,,,,1,1,1,1
Luscinia sibilans parvo-like hybrid virus,Luscinia sibilans parvo-like hybrid virus,,,,,1,1,1,1
Luscinia sibilans parvoviridae sp.,Luscinia sibilans parvoviridae sp.,,,,,1,1,1,1
Luteoviridae sp.,Luteoviridae sp.,,,,,1,1,1,1
Lymphoproliferative disease virus,Lymphoproliferative disease virus,GCA_031102365.1,7432.0,53.5,,0,0,0,1
Lyssavirus australis,Lyssavirus australis,GCF_000850325.1,11822.0,44.0,5.0,0,0,0,0
Lyssavirus rabies,Lyssavirus rabies,GCF_000859625.1,11932.0,45.0,5.0,0,0,0,0
MLV-related retrovirus,MLV-related retrovirus,,,,,1,1,1,1
Magellan virus,Magellan virus,,,,,1,1,1,1
Magpie circovirus,Magpie circovirus,,,,,1,1,1,1
Magpie hepacivirus,Magpie hepacivirus,,,,,1,1,1,1
Magpie-robin coronavirus HKU18,Magpie-robin coronavirus HKU18,GCF_000894435.1,26689.0,46.5,9.0,0,0,0,0
Magpiepox virus,Magpiepox virus,GCA_031198355.1,293226.0,29.5,352.0,0,0,0,0
Magpiepox virus 2,Magpiepox virus 2,GCA_031268825.1,298392.0,29.5,,0,0,0,1
Maksutov virus,Maksutov virus,,,,,1,1,1,1
Malazfec virus 1,Malazfec virus 1,GCA_036760835.1,39041.0,34.5,,0,0,0,1
Malazfec virus 10,Malazfec virus 10,,,,,1,1,1,1
Malazfec virus 11,Malazfec virus 11,,,,,1,1,1,1
Malazfec virus 12,Malazfec virus 12,,,,,1,1,1,1
Malazfec virus 13,Malazfec virus 13,,,,,1,1,1,1
Malazfec virus 14,Malazfec virus 14,,,,,1,1,1,1
Malazfec virus 15,Malazfec virus 15,,,,,1,1,1,1
Malazfec virus 16,Malazfec virus 16,,,,,1,1,1,1
Malazfec virus 17,Malazfec virus 17,,,,,1,1,1,1
Malazfec virus 18,Malazfec virus 18,,,,,1,1,1,1
Malazfec virus 19,Malazfec virus 19,,,,,1,1,1,1
Malazfec virus 20,Malazfec virus 20,,,,,1,1,1,1
Malazfec virus 21,Malazfec virus 21,,,,,1,1,1,1
Malazfec virus 22,Malazfec virus 22,,,,,1,1,1,1
Malazfec virus 23,Malazfec virus 23,,,,,1,1,1,1
Malazfec virus 24,Malazfec virus 24,,,,,1,1,1,1
Malazfec virus 25,Malazfec virus 25,,,,,1,1,1,1
Malazfec virus 9,Malazfec virus 9,,,,,1,1,1,1
Marcaroli circovirus,Marcaroli circovirus,,,,,1,1,1,1
Mardivirus anatidalpha1,Mardivirus anatidalpha1,GCF_000885795.1,158091.0,45.0,77.0,0,0,0,0
Mardivirus columbidalpha1,Mardivirus columbidalpha1,GCF_002116095.1,204237.0,61.5,130.0,0,0,0,0
Mardivirus gallidalpha2,Mardivirus gallidalpha2,GCF_000846265.1,177874.0,44.0,87.0,0,0,0,0
Mardivirus gallidalpha3,Mardivirus gallidalpha3,GCF_008792185.1,165994.0,53.5,124.0,0,0,0,0
Mardivirus meleagridalpha1,Mardivirus meleagridalpha1,GCF_000839725.1,159160.0,47.5,79.0,0,0,0,0
Mardivirus spheniscidalpha1,Mardivirus spheniscidalpha1,GCF_001974335.1,164540.0,45.5,86.0,0,0,0,0
Marr virus,Marr virus,,,,,1,1,1,1
Mason Creek virus,Mason Creek virus,,,,,1,1,1,1
Mawson virus,Mawson virus,,,,,1,1,1,1
Mayaro virus,Mayaro virus,GCF_000863385.1,11411.0,50.5,4.0,0,0,0,0
Maypo virus,Maypo virus,,,,,1,1,1,1
Megrivirus A,Megrivirus A,GCF_002008395.1,10101.0,46.0,1.0,0,0,0,0
Megrivirus B,Megrivirus B,GCF_003028975.1,9101.0,47.5,1.0,0,0,0,0
Megrivirus C,Megrivirus C,GCF_003029035.1,9560.0,45.0,1.0,0,0,0,0
Megrivirus D,Megrivirus D,GCF_002184175.1,8541.0,45.5,1.0,0,0,0,0
Megrivirus E,Megrivirus E,GCF_003029615.1,9702.0,43.0,1.0,0,0,0,0
Megrivirus sp.,Megrivirus sp.,GCA_031242715.1,9184.0,47.5,,0,0,0,1
Meldvirus gallus11737,Meldvirus gallus11737,,,,,1,1,1,1
Meleagrid alphaherpesvirus 2,Meleagrid alphaherpesvirus 2,,,,,1,1,1,1
Melegrivirus A,Melegrivirus A,GCF_000917935.1,9739.0,45.5,1.0,0,0,0,0
Mella virus,Mella virus,,,,,1,1,1,1
Metaavulavirus delawarense,Metaavulavirus delawarense,GCF_002815215.1,15342.0,41.5,6.0,0,0,0,0
Metaavulavirus falklandense,Metaavulavirus falklandense,GCF_002080355.1,15456.0,42.0,6.0,0,0,0,0
Metaavulavirus galliense,Metaavulavirus galliense,GCF_000924755.1,17412.0,39.0,7.0,0,0,0,0
Metaavulavirus hongkongense,Metaavulavirus hongkongense,GCF_002815195.1,16236.0,46.5,7.0,0,0,0,0
Metaavulavirus japanense,Metaavulavirus japanense,GCF_003032665.1,15444.0,43.5,6.0,0,0,0,0
Metaavulavirus kazakhstanense,Metaavulavirus kazakhstanense,GCF_004130815.1,15954.0,40.0,6.0,0,0,0,0
Metaavulavirus kunitachiense,Metaavulavirus kunitachiense,GCF_000924655.1,17262.0,40.0,6.0,0,0,0,0
Metaavulavirus peixense,Metaavulavirus peixense,GCF_002197575.1,14964.0,40.5,6.0,0,0,0,0
Metaavulavirus sp.,Metaavulavirus sp.,,,,,1,1,1,1
Metaavulavirus taiwanense,Metaavulavirus taiwanense,,,,,1,1,1,1
Metaavulavirus tennessense,Metaavulavirus tennessense,GCF_000926535.1,15480.0,39.0,6.0,0,0,0,0
Metaavulavirus yucaipaense,Metaavulavirus yucaipaense,GCF_002989675.1,14904.0,47.0,6.0,0,0,0,0
Metapneumovirus avis,Metapneumovirus avis,,,,,1,1,1,1
Microbacterium phage P8_2022_SA,Microbacterium phage P8_2022_SA,,,,,1,1,1,1
Middelburg virus,Middelburg virus,GCF_000921735.1,11550.0,53.0,2.0,0,0,0,0
Montifringilla taczanowskii coronavirus N,Montifringilla taczanowskii coronavirus N,,,,,1,1,1,1
Montifringilla taczanowskii pegivirus,Montifringilla taczanowskii pegivirus,GCA_031246695.1,10866.0,57.0,,0,0,0,1
Morbillivirus canis,Morbillivirus canis,,,,,1,1,1,1
Mosavirus A,Mosavirus A,GCF_000918135.1,8398.0,45.5,1.0,0,0,0,0
Motacilla cinerea CRESS-DNA-virus sp.,Motacilla cinerea CRESS-DNA-virus sp.,,,,,1,1,1,1
Motacilla cinerea Circoviridae sp.,Motacilla cinerea Circoviridae sp.,,,,,1,1,1,1
Motacilla cinerea parvo-like hybrid virus,Motacilla cinerea parvo-like hybrid virus,,,,,1,1,1,1
Motacilla cinerea parvoviridae sp.,Motacilla cinerea parvoviridae sp.,,,,,1,1,1,1
Mott virus,Mott virus,,,,,1,1,1,1
Mudlarkpox virus,Mudlarkpox virus,GCA_031242895.1,342723.0,30.0,,0,0,0,1
Munia coronavirus HKU13,Munia coronavirus HKU13,GCF_000880835.1,26552.0,42.5,9.0,0,0,0,0
Murine mastadenovirus B,Murine mastadenovirus B,,,,,1,1,1,1
Muscicapa latirostris CRESS-DNA-virus sp.,Muscicapa latirostris CRESS-DNA-virus sp.,,,,,1,1,1,1
Mute swan associated circo-like virus,Mute swan associated circo-like virus,,,,,1,1,1,1
Mute swan feces associated avastrovius 1,Mute swan feces associated avastrovius 1,,,,,1,1,1,1
Mute swan feces associated avastrovius 2,Mute swan feces associated avastrovius 2,,,,,1,1,1,1
Mute swan feces associated aveparvovirus,Mute swan feces associated aveparvovirus,,,,,1,1,1,1
Mute swan feces associated avihepatovirus,Mute swan feces associated avihepatovirus,,,,,1,1,1,1
Mute swan feces associated calicivirus,Mute swan feces associated calicivirus,,,,,1,1,1,1
Mute swan feces associated chapparvovirus 1,Mute swan feces associated chapparvovirus 1,,,,,1,1,1,1
Mute swan feces associated chapparvovirus 2,Mute swan feces associated chapparvovirus 2,,,,,1,1,1,1
Mute swan feces associated chapparvovirus 3,Mute swan feces associated chapparvovirus 3,,,,,1,1,1,1
Mute swan feces associated chapparvovirus 4,Mute swan feces associated chapparvovirus 4,,,,,1,1,1,1
