pathogen,pathogenID,eid2UpdatedVirusID,host,hostID,order,fromSequence,fromPublication,strongest evidence type,strongest evidence,included
rabies lyssavirus,3436242,3436242,parastrellus hesperus,4087556,chiroptera,1,1,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,pecari tajacu,3433965,suina,1,0,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,pipistrellus abramus,3573948,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pipistrellus ceylonicus,24648042,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pipistrellus coromandra,3723890,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pipistrellus hesperidus,3752881,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pipistrellus javanicus,3723891,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pipistrellus kuhlii,3494218,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pipistrellus nanulus,24584291,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pipistrellus nathusii,3494219,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pipistrellus paterculus,4168107,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pipistrellus pipistrellus,3494221,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pipistrellus pygmaeus,3712647,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pipistrellus rueppellii,3859425,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pipistrellus rusticus,3823261,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pipistrellus stenopterus,3959542,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pipistrellus subflavus,3441141,chiroptera,1,14,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,pipistrellus tenuis,3723892,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,plecotus auritus,3498351,chiroptera,1,0,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,plecotus austriacus,3581337,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,plecotus christii,3736280,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,plecotus kolombatovici,3641873,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,plecotus macrobullaris,3709163,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,plecotus ognevi,3812327,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,plecotus rafinesquii,3441145,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,plecotus sacrimontis,3812326,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,potos flavus,3443311,carnivora,1,1,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,prionailurus bengalensis,3455012,carnivora,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,prionailurus iriomotensis,3455014,carnivora,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,prionailurus planiceps,3497592,carnivora,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,prionailurus rubiginosus,3497565,carnivora,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,prionailurus viverrinus,3497567,carnivora,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,procyon lotor,3433651,carnivora,1,187,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,profelis aurata,3497610,carnivora,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,proteles cristatus,3433698,carnivora,1,0,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,pteropus admiralitatum,3491765,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus alecto,3433245,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus anetianus,3642917,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus capistratus,25934339,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus conspicillatus,3784032,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus giganteus,3618717,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus griseus,25934447,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus hypomelanus,3433251,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus lombocensis,25934443,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus lylei,3639202,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus macrotis,3891970,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus neohibernicus,3642921,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus niger,3642922,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus ocularis,3642923,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus ornatus,3642924,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus personatus,3642925,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus poliocephalus,3433247,chiroptera,0,1,Isolation,isolation,1
rabies lyssavirus,3436242,3436242,pteropus pumilus,3635045,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus rayneri,3583812,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus rufus,3666970,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus samoensis,3642927,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus scapulatus,3554537,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus temminckii,3433249,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus tonganus,3524424,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus vampyrus,3609051,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pteropus vetulus,3642928,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,puma concolor,3433725,carnivora,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,puma yagouaroundi,25996844,carnivora,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,pusa hispida,3433764,carnivora,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rangifer tarandus,3434031,ruminantia,1,5,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,raphicerus campestris,3494356,ruminantia,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rattus exulans,3451529,rodentia,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rattus norvegicus,3434405,rodentia,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rattus rattus,3434407,rodentia,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus acuminatus,3776397,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus affinis,3494227,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus alcyone,3714630,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus arcuatus,3523733,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus beddomei,3984594,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus blasii,3954103,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus blythi,3827313,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus borneensis,3792048,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus capensis,3759839,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus celebensis,24645527,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus chaseni,4168114,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus clivosus,3494229,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus coelophyllus,4168115,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus cornutus,3666969,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus creaghi,3650949,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus darlingi,3476515,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus denti,4016474,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus eloquens,3954104,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus euryale,3581323,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus euryotis,3523735,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus ferrumequinum,3494231,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus formosae,3913421,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus fumigatus,3759841,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus hipposideros,3524426,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus inops,24645529,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus landeri,3954105,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus lepidus,3659999,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus luctus,3792049,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus maclaudi,4016475,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus macrotis,3667523,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus malayanus,4016477,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus marshalli,3916808,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus megaphyllus,3523737,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus mehelyi,3797061,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus monoceros,3642474,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus morio,25934555,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus paradoxolophus,3919521,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus pearsonii,3660000,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus philippinensis,3523739,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus pusillus,3633429,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus rex,3660001,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus robinsoni,3959533,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus rouxii,3546012,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus rufus,3974835,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus ruwenzorii,3954106,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus sedulus,3494233,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus shameli,4016525,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus shortridgei,25934579,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus siamensis,4168116,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus simulator,3954107,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus sinicus,3546014,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus stheno,3876155,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus subrufus,3974834,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus swinnyi,4016526,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus thomasi,3916809,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus trifoliatus,3876156,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhinolophus virgo,24645528,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhizomys pruinosus,3483188,rodentia,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rhynchogale melleri,3680437,carnivora,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rousettus aegyptiacus,3433255,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rousettus amplexicaudatus,3491767,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rousettus celebensis,25934233,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rousettus lanosus,3524432,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rousettus leschenaultii,3433257,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rousettus madagascariensis,3524434,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rousettus spinalatus,3861772,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,rusa unicolor,4046521,ruminantia,1,0,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,saccolaimus flaviventris,3890884,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,saccolaimus saccolaimus,3959534,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,sapajus apella,3433426,primates,1,0,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,sciurus carolinensis,3445773,rodentia,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,speothos venaticus,3509525,carnivora,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,spermophilus undulatus,3564682,rodentia,1,0,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,spilogale gracilis,3445651,carnivora,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,spilogale putorius,3445653,carnivora,1,1,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,sturnira aratathomasi,3663627,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,sturnira bidens,3663628,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,sturnira bogotensis,3663629,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,sturnira erythromos,3663630,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,sturnira lilium,3441118,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,sturnira ludovici,3663631,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,sturnira luisi,3663632,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,sturnira magna,3663633,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,sturnira mordax,3663634,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,sturnira oporaphilum,3663636,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,sturnira parvidens,3667337,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,sturnira tildae,3441120,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,suricata suricatta,3455018,carnivora,1,0,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,sus scrofa,3433956,suina,1,97,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,tadarida aegyptiaca,3759843,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,tadarida australis,25934495,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,tadarida brasiliensis,3433309,chiroptera,1,34,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,tadarida fulminans,3991407,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,tadarida insignis,3658569,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,tadarida teniotis,3494239,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,tamias striatus,3469546,rodentia,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,taxidea taxus,3445657,carnivora,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,tragelaphus oryx,3434142,ruminantia,1,0,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,tragelaphus strepsiceros,3434144,ruminantia,1,3,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,urocitellus parryii,3434223,rodentia,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,urocyon cinereoargenteus,3486340,carnivora,1,21,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,ursus americanus,3433630,carnivora,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,ursus arctos,3433632,carnivora,1,2,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,ursus maritimus,3443313,carnivora,1,3,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,vampyressa bidens,3622854,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,vampyressa brocki,3667338,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,vampyressa melissa,3814875,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,vampyressa nymphaea,3814874,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,vampyressa pusilla,3622855,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,vampyressa thyone,3814876,chiroptera,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,viverricula indica,3554692,carnivora,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,vulpes cana,3807024,carnivora,0,1,isolation,isolation,1
rabies lyssavirus,3436242,3436242,vulpes chama,3433602,carnivora,1,0,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,vulpes corsac,3433606,carnivora,1,3,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,vulpes ferrilata,3988188,carnivora,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,vulpes lagopus,3932989,carnivora,1,27,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,vulpes macrotis,3433608,carnivora,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,vulpes pallida,25996789,carnivora,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,vulpes rueppellii,3807023,carnivora,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,vulpes velox,3433610,carnivora,0,1,antibodies,serelogy,1
rabies lyssavirus,3436242,3436242,vulpes vulpes,3433604,carnivora,1,69,sequence (EID2),isolation,1
rabies lyssavirus,3436242,3436242,vulpes zerda,3509513,carnivora,0,1,antibodies,serelogy,1
rabovirus a,27627803,27627803,rattus norvegicus,3434405,rodentia,1,0,sequence (EID2),isolation,1
raccoonpox virus,3434643,3434643,procyon lotor,3433651,carnivora,1,29,sequence (EID2),isolation,1
rangifer tarandus granti nidovirus,27786268,27786268,rangifer tarandus,3434031,ruminantia,1,0,sequence (EID2),isolation,1
rangifer tarandus granti papillomavirus,27860012,27860012,rangifer tarandus,3434031,ruminantia,1,0,sequence (EID2),isolation,1
rangifer tarandus granti parvovirus,27860016,27860016,rangifer tarandus,3434031,ruminantia,1,0,sequence (EID2),isolation,1
rangifer tarandus granti polyomavirus,27786270,27786270,rangifer tarandus,3434031,ruminantia,1,0,sequence (EID2),isolation,1
rangifer tarandus papillomavirus 3,27808584,27808584,rangifer tarandus,3434031,ruminantia,1,0,sequence (EID2),isolation,1
rat adeno-associated virus 1,3795593,3795593,rattus norvegicus,3434405,rodentia,1,0,sequence (EID2),isolation,1
rat arterivirus 2,26303112,26303112,dipus sagitta,3518503,rodentia,0,1,isolation,isolation,1
rat arterivirus 3,26303114,26303114,dipus sagitta,3518503,rodentia,0,1,isolation,isolation,1
rat arterivirus 4,26303108,26303108,dipus sagitta,3518503,rodentia,0,1,isolation,isolation,1
rat astrovirus,2039491,28922376,rattus losea,3510056,rodentia,1,0,sequence (EID2),isolation,1
rat astrovirus,2039491,28922376,rattus norvegicus,3434405,rodentia,1,0,sequence (EID2),isolation,1
rat astrovirus,2039491,28922376,rattus rattus,3434407,rodentia,1,0,sequence (EID2),isolation,1
rat astrovirus,2039491,28922376,rattus tanezumi,3452800,rodentia,1,0,sequence (EID2),isolation,1
rat bocavirus,26303126,29395470,rattus norvegicus,3434405,rodentia,1,1,sequence (EID2),isolation,1
rat minute virus,26302866,26302866,rattus norvegicus,3434405,rodentia,1,1,sequence (EID2),isolation,1
rat picornavirus,26302988,26302988,rattus norvegicus,3434405,rodentia,1,0,sequence (EID2),isolation,1
rattus exulans cytomegalovirus 1,3877230,3877230,rattus exulans,3451529,rodentia,1,0,sequence (EID2),isolation,1
rattus losea adenovirus,27473108,27473108,rattus losea,3510056,rodentia,0,1,isolation,isolation,1
rattus norvegicus adenovirus,26303144,26303144,rattus norvegicus,3434405,rodentia,1,0,sequence (EID2),isolation,1
rattus norvegicus polyomavirus 1,26303094,26303094,rattus norvegicus,3434405,rodentia,1,1,sequence (EID2),isolation,1
rattus rattus cytomegalovirus 1,3877231,3877231,rattus rattus,3434407,rodentia,1,0,sequence (EID2),isolation,1
rattus tanezumi adenovirus,27704971,27704971,rattus tanezumi,3452800,rodentia,1,0,sequence (EID2),isolation,1
rattus tiomanicus cytomegalovirus 1,3877232,3877232,rattus tiomanicus,3535987,rodentia,1,0,sequence (EID2),isolation,1
recovirus a,3948504,29395552,macaca mulatta,3433483,primates,0,1,isolation,isolation,1
red-bellied tamarin adenovirus,2301509,29046284,saguinus labiatus,3526698,primates,0,1,isolation,isolation,1
red-faced spider monkey adenovirus,2301510,29046292,ateles paniscus,3433418,primates,0,1,isolation,isolation,1
reindeer gammaherpesvirus,26745639,26745639,rangifer tarandus,3434031,ruminantia,1,2,sequence (EID2),isolation,1
reindeer parapoxvirus,3727116,3727116,rangifer tarandus,3434031,ruminantia,1,1,sequence (EID2),isolation,1
respiratory syncytial virus,3437828,3437828,aotus trivirgatus,3433408,primates,0,1,incolutation; disease; model,isolation,1
respiratory syncytial virus,3437828,3437828,bison bison,3434090,ruminantia,0,1,antibodies; CI-ELISA,serelogy,1
respiratory syncytial virus,3437828,3437828,brachyteles arachnoides,3445700,primates,0,1,isolation,isolation,1
respiratory syncytial virus,3437828,3437828,capra hircus,3434115,ruminantia,0,1,isolation,isolation,1
respiratory syncytial virus,3437828,3437828,cercocebus torquatus,3433455,primates,0,1,PCR; isolation,isolation,1
respiratory syncytial virus,3437828,3437828,cervus canadensis,26552477,ruminantia,0,1,antibodies,serelogy,1
respiratory syncytial virus,3437828,3437828,cervus elaphus,3434017,ruminantia,0,1,antibodies,serelogy,1
respiratory syncytial virus,3437828,3437828,chlorocebus aethiops,3433463,primates,0,1,isolation,isolation,1
respiratory syncytial virus,3437828,3437828,chlorocebus pygerythrus,3496402,primates,0,1,isolation,isolation,1
respiratory syncytial virus,3437828,3437828,dama dama,3445619,ruminantia,0,1,antibodies,serelogy,1
respiratory syncytial virus,3437828,3437828,erythrocebus patas,3433471,primates,0,1,antibodies; disease,serelogy,1
respiratory syncytial virus,3437828,3437828,gorilla gorilla,3433550,primates,0,1,isolation,isolation,1
respiratory syncytial virus,3437828,3437828,homo sapiens,3433574,primates,1,965,sequence (EID2),isolation,1
respiratory syncytial virus,3437828,3437828,macaca fascicularis,3433477,primates,0,1,isolation,isolation,1
respiratory syncytial virus,3437828,3437828,macaca mulatta,3433483,primates,0,1,PCR,PCR,1
respiratory syncytial virus,3437828,3437828,macaca nemestrina,3433485,primates,0,1,antibodies,serelogy,1
respiratory syncytial virus,3437828,3437828,macaca radiata,3433489,primates,0,1,isolation,isolation,1
respiratory syncytial virus,3437828,3437828,odocoileus hemionus,3434034,ruminantia,0,1,antibodies,serelogy,1
respiratory syncytial virus,3437828,3437828,oreamnos americanus,3451559,ruminantia,0,1,antibodies,serelogy,1
respiratory syncytial virus,3437828,3437828,ovibos moschatus,3455253,ruminantia,0,1,antibodies,serelogy,1
respiratory syncytial virus,3437828,3437828,ovis aries,3434136,ruminantia,0,1,isolation,isolation,1
respiratory syncytial virus,3437828,3437828,ovis canadensis,3455249,ruminantia,0,1,isolation,isolation,1
respiratory syncytial virus,3437828,3437828,pan troglodytes,3433558,primates,1,45,sequence (EID2),isolation,1
respiratory syncytial virus,3437828,3437828,papio anubis,3433500,primates,0,1,isolation,isolation,1
respiratory syncytial virus,3437828,3437828,pongo pygmaeus,3433562,primates,0,1,antibodies,serelogy,1
reston ebolavirus,3658151,3658151,eidolon helvum,3524418,chiroptera,0,1,antibodies,serelogy,1
reston ebolavirus,3658151,3658151,homo sapiens,3433574,primates,1,3,sequence (EID2),isolation,1
reston ebolavirus,3658151,3658151,macaca fascicularis,3433477,primates,1,0,sequence (EID2),isolation,1
reston ebolavirus,3658151,3658151,sus scrofa,3433956,suina,1,12,sequence (EID2),isolation,1
rhesus macaque norovirus,4170942,4170942,macaca mulatta,3433483,primates,1,0,sequence (EID2),isolation,1
rhesus macaque recovirus,4172330,4172330,macaca mulatta,3433483,primates,1,0,sequence (EID2),isolation,1
rhesus monkey astrovirus,2126056,29046606,macaca mulatta,3433483,primates,0,1,isolation,isolation,1
rhinolophus affinis pestivirus 1,27352658,27352658,rhinolophus affinis,3494227,chiroptera,1,0,sequence (EID2),isolation,1
rhinolophus bat coronavirus hku2,4073257,4073257,hipposideros pratti,3659998,chiroptera,1,0,sequence (EID2),isolation,1
rhinolophus bat coronavirus hku2,4073257,4073257,rhinolophus rex,3660001,chiroptera,1,0,sequence (EID2),isolation,1
rhinolophus bat coronavirus hku2,4073257,4073257,sus scrofa,3433956,suina,1,0,sequence (EID2),isolation,1
rhinolophus ferrumequinum astrovirus,2108207,29394412,rhinolophus ferrumequinum,3494231,chiroptera,0,1,isolation,isolation,1
