,Species,NCBI Taxon ID,Order,Family,Genus,envelope,circular,double_stranded,rna,segmented,positive_sense,negative_sense,size,gc,genes,budding,lysis,release_other,cytoplasm,CE_clathrin,CE_receptor,CE_glycoproteins,CE_other
1329,robinz virus RP_1124,2886405,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1933.0,34.5,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1330,robinz virus RP_1170,2886406,5.0,10.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1846.0,39.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1331,robinz virus RP_99,2886407,8.0,14.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2257.0,51.5,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1332,robinz virus RP_369,2886408,8.0,14.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2215.0,52.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1333,robinz virus RP_380,2886409,8.0,14.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2219.0,48.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1334,robinz virus RP_384,2886410,8.0,14.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2218.0,52.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1335,robinz virus RP_385,2886411,8.0,14.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1336,robinz virus RP_393,2886412,8.0,14.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2190.0,54.5,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1337,robinz virus RP_116,2886413,8.0,14.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2213.0,50.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1338,robinz virus RP_199,2886414,8.0,14.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2195.0,55.5,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1339,robinz virus RP_326,2886415,8.0,14.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1982.0,48.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1340,robinz virus RP_377,2886416,8.0,14.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2194.0,50.5,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1341,robinz virus RP_390,2886417,8.0,14.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2141.0,53.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1342,robinz virus RP_212,2886418,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2114.0,48.5,,,,,,,,,
1343,robinz virus RP_258,2886419,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2083.0,44.5,,,,,,,,,
1344,robinz virus RP_382,2886420,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2224.0,50.0,,,,,,,,,
1345,robinz virus RP_389,2886421,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2212.0,49.5,,,,,,,,,
1346,robinz virus RP_244,2886422,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1790.0,44.5,,,,,,,,,
1347,robinz virus RP_327,2886423,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2573.0,53.5,,,,,,,,,
1348,robinz virus RP_334,2886424,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2458.0,49.0,,,,,,,,,
1349,robinz virus RP_340,2886425,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2263.0,45.5,,,,,,,,,
1350,robinz virus RP_404,2886426,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2094.0,47.5,,,,,,,,,
1351,robinz virus RP_428,2886427,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2067.0,47.0,,,,,,,,,
1352,robinz virus RP_429,2886428,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2068.0,50.5,,,,,,,,,
1353,robinz virus RP_513,2886429,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1781.0,34.0,,,,,,,,,
1354,robinz virus RP_386,2886430,8.0,14.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2207.0,52.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1355,cormorant polyomavirus 1,2896467,24.0,34.0,38.0,0.0,1.0,1.0,0.0,,0.0,0.0,5133.0,47.5,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1356,Goose astrovirus 1,2910303,25.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7310.0,42.0,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1357,Tern atadenovirus 1,2913659,23.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31334.0,34.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1358,Psittacine chaphamaparvovirus 2,2917163,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4312.0,41.5,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1359,Avian picobirnavirus,2919602,7.0,31.0,93.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1360,European bee-eater circovirus,2922908,5.0,10.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1960.0,49.5,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1361,Little bittern circovirus,2922909,5.0,10.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1935.0,49.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1362,Pheasant-associated gyrovirus,2926920,,3.0,49.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2353.0,51.5,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1363,Aquila chrysaetos herpesvirus,2928392,11.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0
1364,Buteo buteo herpesvirus,2928393,11.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0
1365,Chloris chloris herpesvirus,2928394,11.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0
1366,Corvus cornix herpesvirus,2928395,11.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0
1367,Corvus monedula herpesvirus,2928396,11.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0
1368,Falco tinnunculus herpesvirus,2928397,11.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0
1369,Larus argentatus herpesvirus,2928398,11.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0
1370,Passer domesticus herpesvirus,2928399,11.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0
1371,Strix aluco herpesvirus,2928400,11.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0
1372,Columba palumbus herpesvirus,2928402,11.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0
1373,Finch poxvirus,2928837,4.0,35.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,354030.0,30.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1374,Galliform chaphamaparvovirus 10,2928878,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4211.0,44.5,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1375,Galliform chaphamaparvovirus 11,2928879,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4070.0,43.5,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1376,Galliform chaphamaparvovirus 12,2928880,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3429.0,42.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1377,Galliform chaphamaparvovirus 13,2928881,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2582.0,43.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1378,Galliform chaphamaparvovirus 14,2928882,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1948.0,44.5,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1379,Galliform chaphamaparvovirus 15,2928883,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1914.0,40.5,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1380,Galliform chaphamaparvovirus 16,2928884,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1895.0,44.5,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1381,Galliform chaphamaparvovirus 17,2928885,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1622.0,45.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1382,Galliform chaphamaparvovirus 6,2928886,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4270.0,44.5,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1383,Galliform chaphamaparvovirus 7,2928887,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4230.0,42.5,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1384,Galliform chaphamaparvovirus 8,2928888,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4225.0,40.5,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1385,Galliform chaphamaparvovirus 9,2928889,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4212.0,43.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1386,Psittaciform chaphamaparvovirus 3,2928890,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4277.0,43.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1387,Avian associated bastrovirus 1,2936949,25.0,4.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1388,Avian associated bastrovirus 2,2936950,25.0,4.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1389,Avian associated calicivirus 1,2936951,20.0,7.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1390,Avian associated calicivirus 2,2936952,20.0,7.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1391,Avian associated calicivirus 3,2936953,20.0,7.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1392,Avian associated calicivirus 4,2936954,20.0,7.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1393,Avian associated hepe-like virus 1,2936955,10.0,17.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1394,Avian associated hepe-like virus 2,2936956,10.0,17.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1395,Avian associated hepe-like virus 3,2936957,10.0,17.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1396,Avian associated hepe-like virus 4,2936958,10.0,17.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1397,Avian associated hepe-like virus 5,2936959,10.0,17.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1398,Avian associated hepe-like virus 6,2936960,10.0,17.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1399,Avian associated orbivirus 1,2936961,21.0,39.0,75.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1400,Avian associated picorna-like virus 1,2936962,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1401,Avian associated picorna-like virus 10,2936963,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1402,Avian associated picorna-like virus 11,2936964,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1403,Avian associated picorna-like virus 2,2936965,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1404,Avian associated picorna-like virus 3,2936966,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1405,Avian associated picorna-like virus 4,2936967,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1406,Avian associated picorna-like virus 5,2936968,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1407,Avian associated picorna-like virus 6,2936969,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1408,Avian associated picorna-like virus 7,2936970,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1409,Avian associated picorna-like virus 8,2936971,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1410,Avian associated picorna-like virus 9,2936972,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1411,Avian associated reo-like virus 1,2936973,21.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,1.0,0.0,1.0,0.0,0.0
1412,Avian associated reo-like virus 2,2936974,21.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,1.0,0.0,1.0,0.0,0.0
1413,Avian associated reo-like virus 3,2936975,21.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,1.0,0.0,1.0,0.0,0.0
1414,Avian associated reo-like virus 4,2936976,21.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,1.0,0.0,1.0,0.0,0.0
1415,Avian associated reo-like virus 5,2936977,21.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,1.0,0.0,1.0,0.0,0.0
1416,Avian associated reo-like virus 6,2936978,21.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,1.0,0.0,1.0,0.0,0.0
1417,Avian astrovirus 2,2936979,25.0,4.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1418,Blackbird siadenovirus,2936980,23.0,0.0,101.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1419,Turdid alphaherpesvirus 1,2936981,11.0,23.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1420,Finchpox virus,2940294,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1421,Crowpox virus,2942216,4.0,35.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,328768.0,29.5,403.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1422,Phasianus chaphamaparvovirus,2944714,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1423,tawny owl-associated circovirus,2945983,5.0,10.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1745.0,47.5,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1424,Hepacivirus Q,2952659,0.0,13.0,52.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,9893.0,45.0,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1425,Alphainfluenzavirus influenzae,2955291,1.0,24.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,13590.0,44.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1426,Aviadenovirus leucophthalmi,2955388,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35595.0,52.5,25.0,,,,,,,,
1427,Avihepevirus egretti,2955389,10.0,17.0,15.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1428,Gammapolyomavirus egouldiae,2955939,24.0,34.0,38.0,0.0,1.0,1.0,0.0,,0.0,0.0,5172.0,44.5,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1429,Justusliebigvirus phi92,2956041,,,57.0,,,,,,,,,,,,,,,,,,
1430,Khurdivirus volgaense,2956058,3.0,29.0,58.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,10679.0,36.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1431,Nauglamirvirus anduin,2956213,22.0,20.0,72.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1970.0,34.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1432,Nyavirus somateriae,2956231,14.0,22.0,74.0,1.0,0.0,0.0,1.0,,0.0,1.0,12659.0,48.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1433,Phapecoctavirus TSP7,2956303,,,91.0,,,,,,,,150892.0,39.0,280.0,,,,,,,,
1434,Quaranjavirus chadense,2956349,1.0,24.0,98.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,11987.0,46.5,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1435,Quaranjavirus wellfleetense,2956351,1.0,24.0,98.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,11958.0,43.5,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1436,Sunrhavirus alexandria,2956478,14.0,37.0,103.0,1.0,0.0,0.0,1.0,,0.0,1.0,10846.0,37.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1437,Sunrhavirus bimbo,2956479,14.0,37.0,103.0,1.0,0.0,0.0,1.0,,0.0,1.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1438,Sunrhavirus kolongo,2956481,14.0,37.0,103.0,1.0,0.0,0.0,1.0,,0.0,1.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1439,Sunrhavirus matariya,2956482,14.0,37.0,103.0,1.0,0.0,0.0,1.0,,0.0,1.0,10991.0,38.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1440,Sunrhavirus ouango,2956483,14.0,37.0,103.0,1.0,0.0,0.0,1.0,,0.0,1.0,10773.0,35.5,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1441,Sunrhavirus sandjimba,2956484,14.0,37.0,103.0,1.0,0.0,0.0,1.0,,0.0,1.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1442,Sunrhavirus nasoule,2956485,14.0,37.0,103.0,1.0,0.0,0.0,1.0,,0.0,1.0,10977.0,39.5,7.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1443,Rockhopper penguin papillomavirus,2962496,28.0,25.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1444,Raptor adenovirus,2963835,23.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1445,Tick-associated circular DNA virus,2963861,,,,,,,,,,,2535.0,47.5,,,,,,,,,
1446,Crow astrovirus,2976362,25.0,4.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1447,Temminck's stint calicivirus,2976936,20.0,7.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8575.0,51.5,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1448,Meleagrid alphaherpesvirus 2,2982300,11.0,23.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1449,Zingilamo virus,2983543,13.0,42.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11687.0,52.5,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1450,Wigfec virus K19_227,2985990,,,,,1.0,0.0,0.0,,0.0,0.0,3714.0,39.0,,,,,,,,,
1451,Wigfec virus K19_426,2985991,,,,,1.0,0.0,0.0,,0.0,0.0,2412.0,43.0,,,,,,,,,
1452,Wigfec virus K19_432,2985992,,,,,1.0,0.0,0.0,,0.0,0.0,2388.0,43.0,,,,,,,,,
1453,Wigfec virus K19_450,2985993,,,,,1.0,0.0,0.0,,0.0,0.0,2318.0,43.5,,,,,,,,,
1454,Wigfec virus K19_484,2985994,,,,,1.0,0.0,0.0,,0.0,0.0,2197.0,51.0,,,,,,,,,
1455,Wigfec virus K19_486,2985995,,,,,1.0,0.0,0.0,,0.0,0.0,2194.0,53.5,,,,,,,,,
1456,Wigfec virus K19_494,2985996,,,,,1.0,0.0,0.0,,0.0,0.0,2155.0,50.0,,,,,,,,,
1457,Wigfec virus K19_511,2985997,,,,,1.0,0.0,0.0,,0.0,0.0,2108.0,50.5,,,,,,,,,
1458,Wigfec virus K19_521,2985998,,,,,1.0,0.0,0.0,,0.0,0.0,2090.0,34.0,,,,,,,,,
1459,Wigfec virus K19_545,2985999,,,,,1.0,0.0,0.0,,0.0,0.0,2037.0,41.5,,,,,,,,,
1460,Wigfec virus K19_562,2986000,,,,,1.0,0.0,0.0,,0.0,0.0,1999.0,47.5,,,,,,,,,
1461,Wigfec virus K19_588,2986001,,,,,1.0,0.0,0.0,,0.0,0.0,1934.0,41.5,,,,,,,,,
1462,Wigfec virus K19_598,2986002,,,,,1.0,0.0,0.0,,0.0,0.0,1920.0,40.0,,,,,,,,,
1463,Wigfec virus K19_605,2986003,,,,,1.0,0.0,0.0,,0.0,0.0,1903.0,42.0,,,,,,,,,
1464,Wigfec virus K19_623,2986004,,,,,1.0,0.0,0.0,,0.0,0.0,1840.0,30.5,,,,,,,,,
1465,Wigfec virus K19_658,2986005,,,,,1.0,0.0,0.0,,0.0,0.0,1722.0,37.0,,,,,,,,,
1466,Wigfec virus K19_292,2986006,,,,,1.0,0.0,0.0,,0.0,0.0,3112.0,38.5,,,,,,,,,
1467,Wigfec virus K19_346,2986007,,,,,1.0,0.0,0.0,,0.0,0.0,2885.0,38.0,,,,,,,,,
1468,Wigfec virus K19_385,2986008,,,,,1.0,0.0,0.0,,0.0,0.0,2661.0,37.0,,,,,,,,,
1469,Wigfec virus K19_525,2986009,,,,,1.0,0.0,0.0,,0.0,0.0,2086.0,32.0,,,,,,,,,
1470,Wigfec virus K19_555,2986010,,,,,1.0,0.0,0.0,,0.0,0.0,2020.0,45.5,,,,,,,,,
1471,Wigfec virus K19_558,2986011,,,,,1.0,0.0,0.0,,0.0,0.0,2010.0,46.5,,,,,,,,,
1472,Wigfec virus K19_561,2986012,,,,,1.0,0.0,0.0,,0.0,0.0,2004.0,31.5,,,,,,,,,
1473,Wigfec virus K19_571,2986013,,,,,1.0,0.0,0.0,,0.0,0.0,1986.0,39.0,,,,,,,,,
1474,Wigfec virus K19_593,2986014,,,,,1.0,0.0,0.0,,0.0,0.0,1929.0,37.5,,,,,,,,,
1475,Wigfec virus K19_600,2986015,,,,,1.0,0.0,0.0,,0.0,0.0,1916.0,37.0,,,,,,,,,
1476,Wigfec virus K19_645,2986016,,,,,1.0,0.0,0.0,,0.0,0.0,1750.0,42.5,,,,,,,,,
1477,Wigfec virus K19_654,2986017,,,,,1.0,0.0,0.0,,0.0,0.0,1726.0,38.0,,,,,,,,,
1478,Wigfec virus K19_668,2986018,,,,,1.0,0.0,0.0,,0.0,0.0,1702.0,37.0,,,,,,,,,
1479,Wigfec virus K19_691,2986019,,,,,1.0,0.0,0.0,,0.0,0.0,1665.0,38.5,,,,,,,,,
1480,Wigfec virus K19_221,2986020,,,,,1.0,0.0,0.0,,0.0,0.0,3789.0,46.5,,,,,,,,,
1481,Wigfec virus K19_259,2986021,,,,,1.0,0.0,0.0,,0.0,0.0,3393.0,37.5,,,,,,,,,
1482,Wigfec virus K19_327,2986022,,,,,1.0,0.0,0.0,,0.0,0.0,2948.0,44.5,,,,,,,,,
1483,Wigfec virus K19_443,2986023,,,,,1.0,0.0,0.0,,0.0,0.0,2360.0,46.0,,,,,,,,,
1484,Wigfec virus K19_493,2986024,,,,,1.0,0.0,0.0,,0.0,0.0,2170.0,45.0,,,,,,,,,
1485,Wigfec virus K19_526,2986025,,,,,1.0,0.0,0.0,,0.0,0.0,2084.0,42.0,,,,,,,,,
1486,Wigfec virus K19_576,2986026,,,,,1.0,0.0,0.0,,0.0,0.0,1981.0,52.0,,,,,,,,,
1487,Wigfec virus K19_615,2986027,,,,,1.0,0.0,0.0,,0.0,0.0,1865.0,35.5,,,,,,,,,
1488,Wigfec virus K19_448,2986028,,,,,1.0,0.0,0.0,,0.0,0.0,2327.0,38.5,,,,,,,,,
1489,Wigfec virus K19_454,2986029,,,,,1.0,0.0,0.0,,0.0,0.0,2301.0,46.5,,,,,,,,,
1490,Wigfec virus K19_513,2986030,,,,,1.0,0.0,0.0,,0.0,0.0,2104.0,44.5,,,,,,,,,
1491,Wigfec virus K19_482,2986032,8.0,14.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2200.0,51.5,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1492,Wigfec virus K19_469,2986033,8.0,14.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2231.0,50.5,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1493,Wigfec virus K19_435,2986034,8.0,14.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2375.0,51.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
